id,endpoint_a,endpoint_a_ipv4,endpoint_a_ipv6,endpoint_b,endpoint_b_ipv4,endpoint_b_ipv6,group,igp_metric,srlg
L001,P1:Gi0-0-0-0,10.255.0.0/31,2001:db8:1000:101::/127,P3:Gi0-0-0-0,10.255.0.1/31,2001:db8:1000:101::1/127,core-plane-a,10,101
L002,P3:Gi0-0-0-1,10.255.0.2/31,2001:db8:1000:102::/127,P5:Gi0-0-0-0,10.255.0.3/31,2001:db8:1000:102::1/127,core-plane-a,10,101
L003,P2:Gi0-0-0-0,10.255.0.4/31,2001:db8:1000:103::/127,P4:Gi0-0-0-0,10.255.0.5/31,2001:db8:1000:103::1/127,core-plane-b,10,102
L004,P4:Gi0-0-0-1,10.255.0.6/31,2001:db8:1000:104::/127,P6:Gi0-0-0-0,10.255.0.7/31,2001:db8:1000:104::1/127,core-plane-b,10,102
L005,P1:Gi0-0-0-1,10.255.0.8/31,2001:db8:1000:105::/127,P2:Gi0-0-0-1,10.255.0.9/31,2001:db8:1000:105::1/127,core-rung,20,110
L006,P3:Gi0-0-0-2,10.255.0.10/31,2001:db8:1000:106::/127,P4:Gi0-0-0-2,10.255.0.11/31,2001:db8:1000:106::1/127,core-rung,20,120
L007,P5:Gi0-0-0-1,10.255.0.12/31,2001:db8:1000:107::/127,P6:Gi0-0-0-1,10.255.0.13/31,2001:db8:1000:107::1/127,core-rung,20,130
L008,P1:Gi0-0-0-2,10.255.0.14/31,2001:db8:1000:108::/127,P4:Gi0-0-0-3,10.255.0.15/31,2001:db8:1000:108::1/127,core-diagonal,30,140
L009,P2:Gi0-0-0-2,10.255.0.16/31,2001:db8:1000:109::/127,P3:Gi0-0-0-3,10.255.0.17/31,2001:db8:1000:109::1/127,core-diagonal,30,150
L010,PE1:Gi0-0-0-0,10.255.0.18/31,2001:db8:1000:110::/127,P1:Gi0-0-0-3,10.255.0.19/31,2001:db8:1000:110::1/127,pe-core,10,201
L011,PE1:Gi0-0-0-1,10.255.0.20/31,2001:db8:1000:111::/127,P2:Gi0-0-0-3,10.255.0.21/31,2001:db8:1000:111::1/127,pe-core,10,202
L012,PE2:Gi0-0-0-0,10.255.0.22/31,2001:db8:1000:112::/127,P1:Gi0-0-0-4,10.255.0.23/31,2001:db8:1000:112::1/127,pe-core,10,203
L013,PE2:Gi0-0-0-1,10.255.0.24/31,2001:db8:1000:113::/127,P2:Gi0-0-0-4,10.255.0.25/31,2001:db8:1000:113::1/127,pe-core,10,204
L014,PE3:Gi0-0-0-0,10.255.0.26/31,2001:db8:1000:114::/127,P3:Gi0-0-0-4,10.255.0.27/31,2001:db8:1000:114::1/127,pe-core,10,205
L015,PE3:Gi0-0-0-1,10.255.0.28/31,2001:db8:1000:115::/127,P4:Gi0-0-0-4,10.255.0.29/31,2001:db8:1000:115::1/127,pe-core,10,206
L016,PE4:Gi0-0-0-0,10.255.0.30/31,2001:db8:1000:116::/127,P3:Gi0-0-0-5,10.255.0.31/31,2001:db8:1000:116::1/127,pe-core,10,207
L017,PE4:Gi0-0-0-1,10.255.0.32/31,2001:db8:1000:117::/127,P4:Gi0-0-0-5,10.255.0.33/31,2001:db8:1000:117::1/127,pe-core,10,208
L018,PE5:Gi0-0-0-0,10.255.0.34/31,2001:db8:1000:118::/127,P5:Gi0-0-0-2,10.255.0.35/31,2001:db8:1000:118::1/127,pe-core,10,209
L019,PE5:Gi0-0-0-1,10.255.0.36/31,2001:db8:1000:119::/127,P6:Gi0-0-0-2,10.255.0.37/31,2001:db8:1000:119::1/127,pe-core,10,210
L020,PE6:Gi0-0-0-0,10.255.0.38/31,2001:db8:1000:120::/127,P5:Gi0-0-0-3,10.255.0.39/31,2001:db8:1000:120::1/127,pe-core,10,211
L021,PE6:Gi0-0-0-1,10.255.0.40/31,2001:db8:1000:121::/127,P6:Gi0-0-0-3,10.255.0.41/31,2001:db8:1000:121::1/127,pe-core,10,212
