name,role,kind,image,mgmt_ipv4,loopback_ipv4,loopback_ipv6,isis_net,prefix_sid_index,ipv6_prefix_sid_index
P1,P,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.101,10.0.0.1/32,2001:db8:500:abcd::1/128,49.0001.0000.0000.0001.00,1,601
P2,P,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.102,10.0.0.2/32,2001:db8:500:abcd::2/128,49.0001.0000.0000.0002.00,2,602
P3,P,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.103,10.0.0.3/32,2001:db8:500:abcd::3/128,49.0001.0000.0000.0003.00,3,603
P4,P,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.104,10.0.0.4/32,2001:db8:500:abcd::4/128,49.0001.0000.0000.0004.00,4,604
P5,P,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.105,10.0.0.5/32,2001:db8:500:abcd::5/128,49.0001.0000.0000.0005.00,5,605
P6,P,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.106,10.0.0.6/32,2001:db8:500:abcd::6/128,49.0001.0000.0000.0006.00,6,606
PE1,PE,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.111,10.0.0.7/32,2001:db8:500:abcd::7/128,49.0001.0000.0000.0007.00,7,607
PE2,PE,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.112,10.0.0.8/32,2001:db8:500:abcd::8/128,49.0001.0000.0000.0008.00,8,608
PE3,PE,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.113,10.0.0.9/32,2001:db8:500:abcd::9/128,49.0001.0000.0000.0009.00,9,609
PE4,PE,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.114,10.0.0.10/32,2001:db8:500:abcd::10/128,49.0001.0000.0000.0010.00,10,610
PE5,PE,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.115,10.0.0.11/32,2001:db8:500:abcd::11/128,49.0001.0000.0000.0011.00,11,611
PE6,PE,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.116,10.0.0.12/32,2001:db8:500:abcd::12/128,49.0001.0000.0000.0012.00,12,612
RR1,RR-PCE,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.121,10.0.0.13/32,2001:db8:500:abcd::13/128,49.0001.0000.0000.0013.00,13,613
RR2,RR-PCE,cisco_xrd,ios-xr/xrd-control-plane:24.2.11,10.201.255.122,10.0.0.14/32,2001:db8:500:abcd::14/128,49.0001.0000.0000.0014.00,14,614
CE1,CE,cisco_iol,vrnetlab/cisco_iol:17.12.01,10.201.255.131,10.100.0.1/32,2001:db8:100::1/128,,,
CE2,CE-DUAL,cisco_iol,vrnetlab/cisco_iol:17.12.01,10.201.255.132,10.100.0.2/32,2001:db8:100::2/128,,,
CE3,CE,cisco_iol,vrnetlab/cisco_iol:17.12.01,10.201.255.133,10.100.0.3/32,2001:db8:100::3/128,,,
CE4,CE,cisco_iol,vrnetlab/cisco_iol:17.12.01,10.201.255.134,10.100.0.4/32,2001:db8:100::4/128,,,
CE5,CE-DUAL,cisco_iol,vrnetlab/cisco_iol:17.12.01,10.201.255.135,10.100.0.5/32,2001:db8:100::5/128,,,
CE6,CE,cisco_iol,vrnetlab/cisco_iol:17.12.01,10.201.255.136,10.100.0.6/32,2001:db8:100::6/128,,,
CE7,CE,cisco_iol,vrnetlab/cisco_iol:17.12.01,10.201.255.137,10.100.0.7/32,2001:db8:100::7/128,,,
CE8,CE-DUAL,cisco_iol,vrnetlab/cisco_iol:17.12.01,10.201.255.138,10.100.0.8/32,2001:db8:100::8/128,,,
CE9,CE,cisco_iol,vrnetlab/cisco_iol:17.12.01,10.201.255.139,10.100.0.9/32,2001:db8:100::9/128,,,
C1,CLIENT,cisco_iol,vrnetlab/cisco_iol:17.12.01,10.201.255.141,10.100.0.10/32,2001:db8:100::10/128,,,
C2,CLIENT,cisco_iol,vrnetlab/cisco_iol:17.12.01,10.201.255.142,10.100.0.11/32,2001:db8:100::11/128,,,
AUTO1,AUTOMATION,linux,ccie-sp-automation:1.0,10.201.255.150,,,,,
