id,endpoint_a,ipv4_a,ipv6_a,endpoint_b,ipv4_b,ipv6_b,purpose
FD001,P1:eth1,10.50.255.0/31,2001:db8:1500:1::/127,P2:eth1,10.50.255.1/31,2001:db8:1500:1::1/127,core-ring
FD002,P2:eth2,10.50.255.2/31,2001:db8:1500:2::/127,P3:eth1,10.50.255.3/31,2001:db8:1500:2::1/127,core-ring
FD003,P3:eth2,10.50.255.4/31,2001:db8:1500:3::/127,P4:eth1,10.50.255.5/31,2001:db8:1500:3::1/127,core-ring
FD004,P4:eth2,10.50.255.6/31,2001:db8:1500:4::/127,P1:eth2,10.50.255.7/31,2001:db8:1500:4::1/127,core-ring
FD005,P1:eth3,10.50.255.8/31,2001:db8:1500:5::/127,P3:eth3,10.50.255.9/31,2001:db8:1500:5::1/127,core-diagonal
FD006,P2:eth3,10.50.255.10/31,2001:db8:1500:6::/127,P4:eth3,10.50.255.11/31,2001:db8:1500:6::1/127,core-diagonal
FD007,PE1:eth1,10.50.255.12/31,2001:db8:1500:7::/127,P1:eth4,10.50.255.13/31,2001:db8:1500:7::1/127,pe-core
FD008,PE1:eth2,10.50.255.14/31,2001:db8:1500:8::/127,P2:eth4,10.50.255.15/31,2001:db8:1500:8::1/127,pe-core
FD009,PE2:eth1,10.50.255.16/31,2001:db8:1500:9::/127,P1:eth5,10.50.255.17/31,2001:db8:1500:9::1/127,pe-core
FD010,PE2:eth2,10.50.255.18/31,2001:db8:1500:a::/127,P3:eth4,10.50.255.19/31,2001:db8:1500:a::1/127,pe-core
FD011,PE3:eth1,10.50.255.20/31,2001:db8:1500:b::/127,P2:eth5,10.50.255.21/31,2001:db8:1500:b::1/127,pe-core
FD012,PE3:eth2,10.50.255.22/31,2001:db8:1500:c::/127,P3:eth5,10.50.255.23/31,2001:db8:1500:c::1/127,pe-core
FD013,PE4:eth1,10.50.255.24/31,2001:db8:1500:d::/127,P2:eth6,10.50.255.25/31,2001:db8:1500:d::1/127,pe-core
FD014,PE4:eth2,10.50.255.26/31,2001:db8:1500:e::/127,P4:eth4,10.50.255.27/31,2001:db8:1500:e::1/127,pe-core
FD015,PE5:eth1,10.50.255.28/31,2001:db8:1500:f::/127,P3:eth6,10.50.255.29/31,2001:db8:1500:f::1/127,pe-core
FD016,PE5:eth2,10.50.255.30/31,2001:db8:1500:10::/127,P4:eth5,10.50.255.31/31,2001:db8:1500:10::1/127,pe-core
FD017,PE6:eth1,10.50.255.32/31,2001:db8:1500:11::/127,P1:eth6,10.50.255.33/31,2001:db8:1500:11::1/127,pe-core
FD018,PE6:eth2,10.50.255.34/31,2001:db8:1500:12::/127,P4:eth6,10.50.255.35/31,2001:db8:1500:12::1/127,pe-core
FD019,RR1:Gi0-0-0-0,10.50.255.36/31,2001:db8:1500:13::/127,P1:eth7,10.50.255.37/31,2001:db8:1500:13::1/127,rr-core
FD020,RR1:Gi0-0-0-1,10.50.255.38/31,2001:db8:1500:14::/127,P3:eth7,10.50.255.39/31,2001:db8:1500:14::1/127,rr-core
FD021,RR2:Gi0-0-0-0,10.50.255.40/31,2001:db8:1500:15::/127,P2:eth7,10.50.255.41/31,2001:db8:1500:15::1/127,rr-core
FD022,RR2:Gi0-0-0-1,10.50.255.42/31,2001:db8:1500:16::/127,P4:eth7,10.50.255.43/31,2001:db8:1500:16::1/127,rr-core
FD023,CE1:eth1,10.50.255.44/31,2001:db8:1500:17::/127,PE1:eth3,10.50.255.45/31,2001:db8:1500:17::1/127,customer
FD024,CE1:eth2,10.50.255.46/31,2001:db8:1500:18::/127,PE2:eth3,10.50.255.47/31,2001:db8:1500:18::1/127,customer
FD025,CE2:eth1,10.50.255.48/31,2001:db8:1500:19::/127,PE1:eth4,10.50.255.49/31,2001:db8:1500:19::1/127,customer
FD026,CE2:eth2,10.50.255.50/31,2001:db8:1500:1a::/127,PE2:eth4,10.50.255.51/31,2001:db8:1500:1a::1/127,customer
FD027,CE3:eth1,10.50.255.52/31,2001:db8:1500:1b::/127,PE2:eth5,10.50.255.53/31,2001:db8:1500:1b::1/127,customer
FD028,CE3:eth2,10.50.255.54/31,2001:db8:1500:1c::/127,PE3:eth3,10.50.255.55/31,2001:db8:1500:1c::1/127,customer
FD029,CE4:eth1,10.50.255.56/31,2001:db8:1500:1d::/127,PE3:eth4,10.50.255.57/31,2001:db8:1500:1d::1/127,customer
FD030,CE4:eth2,10.50.255.58/31,2001:db8:1500:1e::/127,PE4:eth3,10.50.255.59/31,2001:db8:1500:1e::1/127,customer
FD031,CE5:eth1,10.50.255.60/31,2001:db8:1500:1f::/127,PE4:eth4,10.50.255.61/31,2001:db8:1500:1f::1/127,customer
FD032,CE5:eth2,10.50.255.62/31,2001:db8:1500:20::/127,PE5:eth3,10.50.255.63/31,2001:db8:1500:20::1/127,customer
FD033,CE6:eth1,10.50.255.64/31,2001:db8:1500:21::/127,PE5:eth4,10.50.255.65/31,2001:db8:1500:21::1/127,customer
FD034,CE6:eth2,10.50.255.66/31,2001:db8:1500:22::/127,PE6:eth3,10.50.255.67/31,2001:db8:1500:22::1/127,customer
FD035,CE7:eth1,10.50.255.68/31,2001:db8:1500:23::/127,PE1:eth5,10.50.255.69/31,2001:db8:1500:23::1/127,customer
FD036,CE7:eth2,10.50.255.70/31,2001:db8:1500:24::/127,PE6:eth4,10.50.255.71/31,2001:db8:1500:24::1/127,customer
FD037,CE8:eth1,10.50.255.72/31,2001:db8:1500:25::/127,PE3:eth5,10.50.255.73/31,2001:db8:1500:25::1/127,customer
FD038,CE8:eth2,10.50.255.74/31,2001:db8:1500:26::/127,PE6:eth5,10.50.255.75/31,2001:db8:1500:26::1/127,customer
FD039,C1:eth1,10.50.255.76/31,2001:db8:1500:27::/127,CE1:eth3,10.50.255.77/31,2001:db8:1500:27::1/127,client
FD040,C2:eth1,10.50.255.78/31,2001:db8:1500:28::/127,CE3:eth3,10.50.255.79/31,2001:db8:1500:28::1/127,client
FD041,C3:eth1,10.50.255.80/31,2001:db8:1500:29::/127,CE5:eth3,10.50.255.81/31,2001:db8:1500:29::1/127,client
FD042,C4:eth1,10.50.255.82/31,2001:db8:1500:2a::/127,CE7:eth3,10.50.255.83/31,2001:db8:1500:2a::1/127,client
