name,role,kind,mgmt_ipv4,loopback_ipv4,loopback_ipv6,image
P1,P,cisco_xrd_vrouter,10.205.255.101,10.50.0.1/32,2001:db8:550:abcd::1/128,vrnetlab/cisco_xrd-vrouter:26.2.1
P2,P,cisco_xrd_vrouter,10.205.255.102,10.50.0.2/32,2001:db8:550:abcd::2/128,vrnetlab/cisco_xrd-vrouter:26.2.1
P3,P,cisco_xrd_vrouter,10.205.255.103,10.50.0.3/32,2001:db8:550:abcd::3/128,vrnetlab/cisco_xrd-vrouter:26.2.1
P4,P,cisco_xrd_vrouter,10.205.255.104,10.50.0.4/32,2001:db8:550:abcd::4/128,vrnetlab/cisco_xrd-vrouter:26.2.1
PE1,PE,cisco_xrd_vrouter,10.205.255.111,10.50.0.11/32,2001:db8:550:abcd::11/128,vrnetlab/cisco_xrd-vrouter:26.2.1
PE2,PE,cisco_xrd_vrouter,10.205.255.112,10.50.0.12/32,2001:db8:550:abcd::12/128,vrnetlab/cisco_xrd-vrouter:26.2.1
PE3,PE,cisco_xrd_vrouter,10.205.255.113,10.50.0.13/32,2001:db8:550:abcd::13/128,vrnetlab/cisco_xrd-vrouter:26.2.1
PE4,PE,cisco_xrd_vrouter,10.205.255.114,10.50.0.14/32,2001:db8:550:abcd::14/128,vrnetlab/cisco_xrd-vrouter:26.2.1
PE5,PE,cisco_xrd_vrouter,10.205.255.115,10.50.0.15/32,2001:db8:550:abcd::15/128,vrnetlab/cisco_xrd-vrouter:26.2.1
PE6,PE,cisco_xrd_vrouter,10.205.255.116,10.50.0.16/32,2001:db8:550:abcd::16/128,vrnetlab/cisco_xrd-vrouter:26.2.1
RR1,RR-PCE,cisco_xrd,10.205.255.121,10.50.0.21/32,2001:db8:550:abcd::21/128,ios-xr/xrd-control-plane:24.2.11
RR2,RR-PCE,cisco_xrd,10.205.255.122,10.50.0.22/32,2001:db8:550:abcd::22/128,ios-xr/xrd-control-plane:24.2.11
CE1,CE-MH,cisco_iol,10.205.255.131,10.50.0.31/32,2001:db8:550:abcd::31/128,vrnetlab/cisco_iol:17.12.01
CE2,CE-MH,cisco_iol,10.205.255.132,10.50.0.32/32,2001:db8:550:abcd::32/128,vrnetlab/cisco_iol:17.12.01
CE3,CE-MH,cisco_iol,10.205.255.133,10.50.0.33/32,2001:db8:550:abcd::33/128,vrnetlab/cisco_iol:17.12.01
CE4,CE-MH,cisco_iol,10.205.255.134,10.50.0.34/32,2001:db8:550:abcd::34/128,vrnetlab/cisco_iol:17.12.01
CE5,CE-MH,cisco_iol,10.205.255.135,10.50.0.35/32,2001:db8:550:abcd::35/128,vrnetlab/cisco_iol:17.12.01
CE6,CE-MH,cisco_iol,10.205.255.136,10.50.0.36/32,2001:db8:550:abcd::36/128,vrnetlab/cisco_iol:17.12.01
CE7,CE-MH,cisco_iol,10.205.255.137,10.50.0.37/32,2001:db8:550:abcd::37/128,vrnetlab/cisco_iol:17.12.01
CE8,CE-MH,cisco_iol,10.205.255.138,10.50.0.38/32,2001:db8:550:abcd::38/128,vrnetlab/cisco_iol:17.12.01
C1,CLIENT,cisco_iol,10.205.255.141,10.50.0.41/32,2001:db8:550:abcd::41/128,vrnetlab/cisco_iol:17.12.01
C2,CLIENT,cisco_iol,10.205.255.142,10.50.0.42/32,2001:db8:550:abcd::42/128,vrnetlab/cisco_iol:17.12.01
C3,CLIENT,cisco_iol,10.205.255.143,10.50.0.43/32,2001:db8:550:abcd::43/128,vrnetlab/cisco_iol:17.12.01
C4,CLIENT,cisco_iol,10.205.255.144,10.50.0.44/32,2001:db8:550:abcd::44/128,vrnetlab/cisco_iol:17.12.01
AUTO1,AUTOMATION,linux,10.205.255.150,10.50.0.50/32,2001:db8:550:abcd::50/128,service-image-staged
RPKI1,RPKI,linux,10.205.255.160,10.50.0.60/32,2001:db8:550:abcd::60/128,service-image-staged
RPKI2,RPKI,linux,10.205.255.161,10.50.0.61/32,2001:db8:550:abcd::61/128,service-image-staged
AAA1,AAA,linux,10.205.255.170,10.50.0.70/32,2001:db8:550:abcd::70/128,service-image-staged
AAA2,AAA,linux,10.205.255.171,10.50.0.71/32,2001:db8:550:abcd::71/128,service-image-staged
OBS1,OBSERVABILITY,linux,10.205.255.180,10.50.0.80/32,2001:db8:550:abcd::80/128,service-image-staged
