id,endpoint_a,endpoint_a_ipv4,endpoint_a_ipv6,endpoint_b,endpoint_b_ipv4,endpoint_b_ipv6,type
IAS001,P1:Gi0-0-0-0,10.240.0.0/31,2001:db8:2400:1::/127,P3:Gi0-0-0-0,10.240.0.1/31,2001:db8:2400:1::1/127,internal
IAS002,P2:Gi0-0-0-0,10.240.0.2/31,2001:db8:2400:2::/127,P4:Gi0-0-0-0,10.240.0.3/31,2001:db8:2400:2::1/127,internal
IAS003,P1:Gi0-0-0-1,10.240.0.4/31,2001:db8:2400:3::/127,P2:Gi0-0-0-1,10.240.0.5/31,2001:db8:2400:3::1/127,internal
IAS004,P3:Gi0-0-0-1,10.240.0.6/31,2001:db8:2400:4::/127,P4:Gi0-0-0-1,10.240.0.7/31,2001:db8:2400:4::1/127,internal
IAS005,PE1:Gi0-0-0-0,10.240.0.8/31,2001:db8:2400:5::/127,P1:Gi0-0-0-2,10.240.0.9/31,2001:db8:2400:5::1/127,internal
IAS006,PE2:Gi0-0-0-0,10.240.0.10/31,2001:db8:2400:6::/127,P2:Gi0-0-0-2,10.240.0.11/31,2001:db8:2400:6::1/127,internal
IAS007,PE3:Gi0-0-0-0,10.240.0.12/31,2001:db8:2400:7::/127,P3:Gi0-0-0-2,10.240.0.13/31,2001:db8:2400:7::1/127,internal
IAS008,PE4:Gi0-0-0-0,10.240.0.14/31,2001:db8:2400:8::/127,P4:Gi0-0-0-2,10.240.0.15/31,2001:db8:2400:8::1/127,internal
IAS009,RR500:Gi0-0-0-0,10.240.0.16/31,2001:db8:2400:9::/127,P3:Gi0-0-0-3,10.240.0.17/31,2001:db8:2400:9::1/127,internal
IAS010,RR500:Gi0-0-0-1,10.240.0.18/31,2001:db8:2400:a::/127,P4:Gi0-0-0-3,10.240.0.19/31,2001:db8:2400:a::1/127,internal
IAS011,P5:Gi0-0-0-0,10.240.0.20/31,2001:db8:2400:b::/127,P7:Gi0-0-0-0,10.240.0.21/31,2001:db8:2400:b::1/127,internal
IAS012,PE5:Gi0-0-0-0,10.240.0.22/31,2001:db8:2400:c::/127,P5:Gi0-0-0-1,10.240.0.23/31,2001:db8:2400:c::1/127,internal
IAS013,PE5:Gi0-0-0-1,10.240.0.24/31,2001:db8:2400:d::/127,P7:Gi0-0-0-1,10.240.0.25/31,2001:db8:2400:d::1/127,internal
IAS014,PE7:Gi0-0-0-0,10.240.0.26/31,2001:db8:2400:e::/127,P5:Gi0-0-0-2,10.240.0.27/31,2001:db8:2400:e::1/127,internal
IAS015,PE7:Gi0-0-0-1,10.240.0.28/31,2001:db8:2400:f::/127,P7:Gi0-0-0-2,10.240.0.29/31,2001:db8:2400:f::1/127,internal
IAS016,RR65100:Gi0-0-0-0,10.240.0.30/31,2001:db8:2400:10::/127,P5:Gi0-0-0-3,10.240.0.31/31,2001:db8:2400:10::1/127,internal
IAS017,RR65100:Gi0-0-0-1,10.240.0.32/31,2001:db8:2400:11::/127,P7:Gi0-0-0-3,10.240.0.33/31,2001:db8:2400:11::1/127,internal
IAS018,P6:Gi0-0-0-0,10.240.0.34/31,2001:db8:2400:12::/127,P8:Gi0-0-0-0,10.240.0.35/31,2001:db8:2400:12::1/127,internal
IAS019,PE6:Gi0-0-0-0,10.240.0.36/31,2001:db8:2400:13::/127,P6:Gi0-0-0-1,10.240.0.37/31,2001:db8:2400:13::1/127,internal
