name,role,asn,igp,kind,mgmt_ipv4,loopback_ipv4,loopback_ipv6
P1,P,500,isis,cisco_xrd,10.202.255.101,10.50.0.1/32,2001:db8:500::1/128
P2,P,500,isis,cisco_xrd,10.202.255.102,10.50.0.2/32,2001:db8:500::2/128
P3,ASBR,500,isis,cisco_xrd,10.202.255.103,10.50.0.3/32,2001:db8:500::3/128
P4,ASBR,500,isis,cisco_xrd,10.202.255.104,10.50.0.4/32,2001:db8:500::4/128
PE1,PE,500,isis,cisco_xrd,10.202.255.111,10.50.0.11/32,2001:db8:500::11/128
PE2,PE,500,isis,cisco_xrd,10.202.255.112,10.50.0.12/32,2001:db8:500::12/128
PE3,PE,500,isis,cisco_xrd,10.202.255.113,10.50.0.13/32,2001:db8:500::13/128
PE4,PE,500,isis,cisco_xrd,10.202.255.114,10.50.0.14/32,2001:db8:500::14/128
RR500,RR,500,isis,cisco_xrd,10.202.255.150,10.50.0.50/32,2001:db8:500::50/128
P5,ASBR,65100,ospfv3,cisco_xrd,10.202.255.105,10.65.100.5/32,2001:db8:6510::5/128
P7,ASBR,65100,ospfv3,cisco_xrd,10.202.255.107,10.65.100.7/32,2001:db8:6510::7/128
PE5,PE,65100,ospfv3,cisco_xrd,10.202.255.115,10.65.100.15/32,2001:db8:6510::15/128
PE7,PE,65100,ospfv3,cisco_xrd,10.202.255.117,10.65.100.17/32,2001:db8:6510::17/128
RR65100,RR,65100,ospfv3,cisco_xrd,10.202.255.151,10.65.100.51/32,2001:db8:6510::51/128
P6,ASBR,65200,ospfv3,cisco_xrd,10.202.255.106,10.65.200.6/32,2001:db8:6520::6/128
P8,ASBR,65200,ospfv3,cisco_xrd,10.202.255.108,10.65.200.8/32,2001:db8:6520::8/128
PE6,PE,65200,ospfv3,cisco_xrd,10.202.255.116,10.65.200.16/32,2001:db8:6520::16/128
PE8,PE,65200,ospfv3,cisco_xrd,10.202.255.118,10.65.200.18/32,2001:db8:6520::18/128
RR65200,RR,65200,ospfv3,cisco_xrd,10.202.255.152,10.65.200.52/32,2001:db8:6520::52/128
CE-A,CE,,none,cisco_iol,10.202.255.201,10.200.0.1/32,2001:db8:ce::1/128
CE-B,CE,,none,cisco_iol,10.202.255.202,10.200.0.2/32,2001:db8:ce::2/128
CE-C,CE,,none,cisco_iol,10.202.255.203,10.200.0.3/32,2001:db8:ce::3/128
AUTO1,AUTOMATION,,none,linux,10.202.255.250,,
