id,endpoint_a,endpoint_a_ipv6,endpoint_b,endpoint_b_ipv6,purpose
SRV6001,P1:Gi0-0-0-0,2001:db8:1000:1::/127,P2:Gi0-0-0-0,2001:db8:1000:1::1/127,underlay
SRV6002,P2:Gi0-0-0-1,2001:db8:1000:2::/127,P3:Gi0-0-0-0,2001:db8:1000:2::1/127,underlay
SRV6003,P3:Gi0-0-0-1,2001:db8:1000:3::/127,P4:Gi0-0-0-0,2001:db8:1000:3::1/127,underlay
SRV6004,P4:Gi0-0-0-1,2001:db8:1000:4::/127,P5:Gi0-0-0-0,2001:db8:1000:4::1/127,underlay
SRV6005,P5:Gi0-0-0-1,2001:db8:1000:5::/127,P6:Gi0-0-0-0,2001:db8:1000:5::1/127,underlay
SRV6006,P6:Gi0-0-0-1,2001:db8:1000:6::/127,P1:Gi0-0-0-1,2001:db8:1000:6::1/127,underlay
SRV6007,P1:Gi0-0-0-2,2001:db8:1000:7::/127,P4:Gi0-0-0-2,2001:db8:1000:7::1/127,underlay
SRV6008,P2:Gi0-0-0-2,2001:db8:1000:8::/127,P5:Gi0-0-0-2,2001:db8:1000:8::1/127,underlay
SRV6009,P3:Gi0-0-0-2,2001:db8:1000:9::/127,P6:Gi0-0-0-2,2001:db8:1000:9::1/127,underlay
SRV6010,PE1:Gi0-0-0-0,2001:db8:1000:a::/127,P1:Gi0-0-0-3,2001:db8:1000:a::1/127,underlay
SRV6011,PE1:Gi0-0-0-1,2001:db8:1000:b::/127,P2:Gi0-0-0-3,2001:db8:1000:b::1/127,underlay
SRV6012,PE2:Gi0-0-0-0,2001:db8:1000:c::/127,P1:Gi0-0-0-4,2001:db8:1000:c::1/127,underlay
SRV6013,PE2:Gi0-0-0-1,2001:db8:1000:d::/127,P3:Gi0-0-0-3,2001:db8:1000:d::1/127,underlay
SRV6014,PE3:Gi0-0-0-0,2001:db8:1000:e::/127,P2:Gi0-0-0-4,2001:db8:1000:e::1/127,underlay
SRV6015,PE3:Gi0-0-0-1,2001:db8:1000:f::/127,P4:Gi0-0-0-3,2001:db8:1000:f::1/127,underlay
SRV6016,PE4:Gi0-0-0-0,2001:db8:1000:10::/127,P3:Gi0-0-0-4,2001:db8:1000:10::1/127,underlay
SRV6017,PE4:Gi0-0-0-1,2001:db8:1000:11::/127,P5:Gi0-0-0-3,2001:db8:1000:11::1/127,underlay
SRV6018,PE5:Gi0-0-0-0,2001:db8:1000:12::/127,P4:Gi0-0-0-4,2001:db8:1000:12::1/127,underlay
SRV6019,PE5:Gi0-0-0-1,2001:db8:1000:13::/127,P6:Gi0-0-0-3,2001:db8:1000:13::1/127,underlay
SRV6020,PE6:Gi0-0-0-0,2001:db8:1000:14::/127,P5:Gi0-0-0-4,2001:db8:1000:14::1/127,underlay
SRV6021,PE6:Gi0-0-0-1,2001:db8:1000:15::/127,P6:Gi0-0-0-4,2001:db8:1000:15::1/127,underlay
SRV6022,RR1:Gi0-0-0-0,2001:db8:1000:16::/127,P2:Gi0-0-0-5,2001:db8:1000:16::1/127,underlay
SRV6023,RR1:Gi0-0-0-1,2001:db8:1000:17::/127,P5:Gi0-0-0-5,2001:db8:1000:17::1/127,underlay
SRV6024,RR2:Gi0-0-0-0,2001:db8:1000:18::/127,P3:Gi0-0-0-5,2001:db8:1000:18::1/127,underlay
SRV6025,RR2:Gi0-0-0-1,2001:db8:1000:19::/127,P6:Gi0-0-0-5,2001:db8:1000:19::1/127,underlay
SRV6101,PE1:Gi0-0-0-2,2001:db8:2000:65::/127,CE1:Ethernet0/1,2001:db8:2000:65::1/127,access
SRV6102,PE2:Gi0-0-0-2,2001:db8:2000:66::/127,CE2:Ethernet0/1,2001:db8:2000:66::1/127,access
SRV6103,PE3:Gi0-0-0-2,2001:db8:2000:67::/127,CE3:Ethernet0/1,2001:db8:2000:67::1/127,access
SRV6104,PE4:Gi0-0-0-2,2001:db8:2000:68::/127,CE4:Ethernet0/1,2001:db8:2000:68::1/127,access
SRV6105,PE5:Gi0-0-0-2,2001:db8:2000:69::/127,CE5:Ethernet0/1,2001:db8:2000:69::1/127,access
SRV6106,PE6:Gi0-0-0-2,2001:db8:2000:6a::/127,CE6:Ethernet0/1,2001:db8:2000:6a::1/127,access
SRV6107,PE3:Gi0-0-0-3,2001:db8:2000:6b::/127,CE2:Ethernet0/2,2001:db8:2000:6b::1/127,access
SRV6108,PE6:Gi0-0-0-3,2001:db8:2000:6c::/127,CE5:Ethernet0/2,2001:db8:2000:6c::1/127,access
