name,role,kind,mgmt_ipv4,loopback_ipv6,locator
P1,P,cisco_xrd,10.203.255.101,2001:db8:500:abcd::1/128,2001:db8:600:1::/64
P2,P,cisco_xrd,10.203.255.102,2001:db8:500:abcd::2/128,2001:db8:600:2::/64
P3,P,cisco_xrd,10.203.255.103,2001:db8:500:abcd::3/128,2001:db8:600:3::/64
P4,P,cisco_xrd,10.203.255.104,2001:db8:500:abcd::4/128,2001:db8:600:4::/64
P5,P,cisco_xrd,10.203.255.105,2001:db8:500:abcd::5/128,2001:db8:600:5::/64
P6,P,cisco_xrd,10.203.255.106,2001:db8:500:abcd::6/128,2001:db8:600:6::/64
PE1,PE,cisco_xrd,10.203.255.111,2001:db8:500:abcd::11/128,2001:db8:600:11::/64
PE2,PE,cisco_xrd,10.203.255.112,2001:db8:500:abcd::12/128,2001:db8:600:12::/64
PE3,PE,cisco_xrd,10.203.255.113,2001:db8:500:abcd::13/128,2001:db8:600:13::/64
PE4,PE,cisco_xrd,10.203.255.114,2001:db8:500:abcd::14/128,2001:db8:600:14::/64
PE5,PE,cisco_xrd,10.203.255.115,2001:db8:500:abcd::15/128,2001:db8:600:15::/64
PE6,PE,cisco_xrd,10.203.255.116,2001:db8:500:abcd::16/128,2001:db8:600:16::/64
RR1,RR,cisco_xrd,10.203.255.121,2001:db8:500:abcd::21/128,2001:db8:600:21::/64
RR2,RR,cisco_xrd,10.203.255.122,2001:db8:500:abcd::22/128,2001:db8:600:22::/64
CE1,CE,cisco_iol,10.203.255.201,2001:db8:700:ce::1/128,
CE2,CE,cisco_iol,10.203.255.202,2001:db8:700:ce::2/128,
CE3,CE,cisco_iol,10.203.255.203,2001:db8:700:ce::3/128,
CE4,CE,cisco_iol,10.203.255.204,2001:db8:700:ce::4/128,
CE5,CE,cisco_iol,10.203.255.205,2001:db8:700:ce::5/128,
CE6,CE,cisco_iol,10.203.255.206,2001:db8:700:ce::6/128,
AUTO1,AUTOMATION,linux,10.203.255.250,,
