id,endpoint_a,endpoint_b,purpose,ipv4_a,ipv4_b,ipv6_a,ipv6_b
P1-P2,P1:eth1,P2:eth1,core,10.20.0.0/31,10.20.0.1/31,2001:db8:2000:101::/127,2001:db8:2000:101::1/127
P1-P3,P1:eth2,P3:eth1,core,10.20.0.2/31,10.20.0.3/31,2001:db8:2000:102::/127,2001:db8:2000:102::1/127
P1-P4,P1:eth3,P4:eth1,core,10.20.0.4/31,10.20.0.5/31,2001:db8:2000:103::/127,2001:db8:2000:103::1/127
P2-P3,P2:eth2,P3:eth2,core,10.20.0.6/31,10.20.0.7/31,2001:db8:2000:104::/127,2001:db8:2000:104::1/127
P2-P4,P2:eth3,P4:eth2,core,10.20.0.8/31,10.20.0.9/31,2001:db8:2000:105::/127,2001:db8:2000:105::1/127
P3-P4,P3:eth3,P4:eth3,core,10.20.0.10/31,10.20.0.11/31,2001:db8:2000:106::/127,2001:db8:2000:106::1/127
PE1-P1,PE1:eth1,P1:eth4,provider,10.20.0.12/31,10.20.0.13/31,2001:db8:2000:107::/127,2001:db8:2000:107::1/127
PE1-P3,PE1:eth2,P3:eth4,provider,10.20.0.14/31,10.20.0.15/31,2001:db8:2000:108::/127,2001:db8:2000:108::1/127
PE2-P2,PE2:eth1,P2:eth4,provider,10.20.0.16/31,10.20.0.17/31,2001:db8:2000:109::/127,2001:db8:2000:109::1/127
PE2-P4,PE2:eth2,P4:eth4,provider,10.20.0.18/31,10.20.0.19/31,2001:db8:2000:110::/127,2001:db8:2000:110::1/127
PE3-P1,PE3:eth1,P1:eth5,provider,10.20.0.20/31,10.20.0.21/31,2001:db8:2000:111::/127,2001:db8:2000:111::1/127
PE3-P4,PE3:eth2,P4:eth5,provider,10.20.0.22/31,10.20.0.23/31,2001:db8:2000:112::/127,2001:db8:2000:112::1/127
RR-P1,RR:eth1,P1:eth6,control,10.20.0.24/31,10.20.0.25/31,2001:db8:2000:113::/127,2001:db8:2000:113::1/127
RR-P4,RR:eth2,P4:eth6,control,10.20.0.26/31,10.20.0.27/31,2001:db8:2000:114::/127,2001:db8:2000:114::1/127
CE1-PE1,CE1:eth1,PE1:eth3,customer,10.20.0.28/31,10.20.0.29/31,2001:db8:2000:115::/127,2001:db8:2000:115::1/127
CE1-PE2,CE1:eth2,PE2:eth3,customer,10.20.0.30/31,10.20.0.31/31,2001:db8:2000:116::/127,2001:db8:2000:116::1/127
CE2-PE2,CE2:eth1,PE2:eth4,customer,10.20.0.32/31,10.20.0.33/31,2001:db8:2000:117::/127,2001:db8:2000:117::1/127
CE3-PE3,CE3:eth1,PE3:eth3,customer,10.20.0.34/31,10.20.0.35/31,2001:db8:2000:118::/127,2001:db8:2000:118::1/127
CE3-PE2,CE3:eth2,PE2:eth5,customer,10.20.0.36/31,10.20.0.37/31,2001:db8:2000:119::/127,2001:db8:2000:119::1/127
