id,endpoint_a,endpoint_b,purpose,ipv4_a,ipv4_b,ipv6_a,ipv6_b
L001,XR1:eth1,XR2:eth1,isp,10.70.255.0/31,10.70.255.1/31,2001:db8:1700:1::/127,2001:db8:1700:1::1/127
L002,XR1:eth2,R1:eth1,isp,10.70.255.2/31,10.70.255.3/31,2001:db8:1700:2::/127,2001:db8:1700:2::1/127
L003,XR1:eth3,R3:eth1,isp,10.70.255.4/31,10.70.255.5/31,2001:db8:1700:3::/127,2001:db8:1700:3::1/127
L004,XR2:eth2,R1:eth2,isp,10.70.255.6/31,10.70.255.7/31,2001:db8:1700:4::/127,2001:db8:1700:4::1/127
L005,XR2:eth3,R3:eth2,isp,10.70.255.8/31,10.70.255.9/31,2001:db8:1700:5::/127,2001:db8:1700:5::1/127
L006,R1:eth3,R3:eth3,isp,10.70.255.10/31,10.70.255.11/31,2001:db8:1700:6::/127,2001:db8:1700:6::1/127
L007,R5:eth1,XR1:eth4,isp,10.70.255.12/31,10.70.255.13/31,2001:db8:1700:7::/127,2001:db8:1700:7::1/127
L008,R5:eth2,R1:eth4,isp,10.70.255.14/31,10.70.255.15/31,2001:db8:1700:8::/127,2001:db8:1700:8::1/127
L009,XR4:eth1,XR2:eth4,isp,10.70.255.16/31,10.70.255.17/31,2001:db8:1700:9::/127,2001:db8:1700:9::1/127
L010,XR4:eth2,R3:eth4,isp,10.70.255.18/31,10.70.255.19/31,2001:db8:1700:a::/127,2001:db8:1700:a::1/127
L011,XR3:eth1,XR1:eth5,isp,10.70.255.20/31,10.70.255.21/31,2001:db8:1700:b::/127,2001:db8:1700:b::1/127
L012,XR3:eth2,R3:eth5,isp,10.70.255.22/31,10.70.255.23/31,2001:db8:1700:c::/127,2001:db8:1700:c::1/127
L013,R2:eth1,XR1:eth6,isp,10.70.255.24/31,10.70.255.25/31,2001:db8:1700:d::/127,2001:db8:1700:d::1/127
L014,R2:eth2,R3:eth6,isp,10.70.255.26/31,10.70.255.27/31,2001:db8:1700:e::/127,2001:db8:1700:e::1/127
L015,R4:eth1,R5:eth3,customer,10.71.255.0/31,10.71.255.1/31,2001:db8:2700:1::/127,2001:db8:2700:1::1/127
L016,R4:eth2,R5:eth4,customer,10.71.255.2/31,10.71.255.3/31,2001:db8:2700:2::/127,2001:db8:2700:2::1/127
L017,R7:eth1,XR4:eth3,customer,10.71.255.4/31,10.71.255.5/31,2001:db8:2700:3::/127,2001:db8:2700:3::1/127
L018,R7:eth2,XR4:eth4,customer,10.71.255.6/31,10.71.255.7/31,2001:db8:2700:4::/127,2001:db8:2700:4::1/127
L019,R10:eth1,XR3:eth3,customer,10.71.255.8/31,10.71.255.9/31,2001:db8:2700:5::/127,2001:db8:2700:5::1/127
L020,R10:eth2,XR3:eth4,customer,10.71.255.10/31,10.71.255.11/31,2001:db8:2700:6::/127,2001:db8:2700:6::1/127
