name,role,platform,node_id,mgmt_ipv4,loopback_ipv4,loopback_ipv6
P1,P,XRd-vRouter-26.2.1,1,10.207.255.101,10.70.0.1/32,2001:db8:570:abcd::1/128
P2,P,XRd-vRouter-26.2.1,2,10.207.255.102,10.70.0.2/32,2001:db8:570:abcd::2/128
P3,P,XRd-vRouter-26.2.1,3,10.207.255.104,10.70.0.3/32,2001:db8:570:abcd::3/128
P4,P,XRd-vRouter-26.2.1,4,10.207.255.106,10.70.0.4/32,2001:db8:570:abcd::4/128
PE1,PE,XRd-vRouter-26.2.1,5,10.207.255.107,10.70.0.5/32,2001:db8:570:abcd::5/128
PE2,PE,XRd-vRouter-26.2.1,6,10.207.255.108,10.70.0.6/32,2001:db8:570:abcd::6/128
PE3,PE,XRd-vRouter-26.2.1,7,10.207.255.103,10.70.0.7/32,2001:db8:570:abcd::7/128
RR,RR,XRd-vRouter-26.2.1,8,10.207.255.105,10.70.0.8/32,2001:db8:570:abcd::8/128
CE1,CE,IOL-XE-17.12.1,41,10.207.255.141,,
CE2,CE,IOL-XE-17.12.1,43,10.207.255.143,,
CE3,CE,IOL-XE-17.12.1,46,10.207.255.146,,
AUTO1,AUTOMATION,Linux,150,10.207.255.150,,
